Alloy,Category-2
CoCrFeNiV0.25,SS
Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9,SS
Fe18Co18Ni18Cr18Mn18Al10,SS
CoCrFeNi,SS
ZrTiHfCuNiFe,SS
AlCrFeNi,SS
CrCuFeMoNi,SS
Al0.3CrFe1.5MnNi0.5Ti0.2,SS
Al0.1CoCrFeNi,SS
CoCrFeMnNbNi,SS
Al0.8CrFe1.5MnNi0.5,SS
AlCoFeNiTi,SS
HfMo0.5NbTiV0.5Si0.5,SS
Al1.2CrFe1.5MnNi0.5,SS
AlCrFeNiMo0.5,SS
Al13.00Co20.94Cr20.94Fe20.94Ni20.94Ti3.00C0.25,SS
AlCoCrFeNiTi0.5,SS
Al0.5CoCrFeNiTi0.5,SS
Al1.2CoCrFeNiTi0.8,SS
CrNbTiZr,SS
Al0.2CrFe1.5Ni0.5,SS
CoCrFeMnNiTi,SS
AlCo1.5CrFeNiTi0.5,SS
Ti2ZrHf0.5V,SS
Fe17.8Co17.8Ni17.8Cr17.8Mn17.8Al11,SS
AlCrFeMnNi,SS
AlCo3CrFeNiTi0.5,SS
Al0.15CrFe1.5Ni0.5,SS
AlCrMoTiW,SS
Co1.5CrFeMo0.1Ni1.5Ti0.5,SS
Al0.25CoCrFeMoNi,SS
AlCoCuNiTiZn,SS
CoFeNiSi0.25,SS
AlCrCuFeMnNi,SS
AlCoCuNi,SS
Ni1.5Co1.5CrFeTi0.5,SS
AlCoCrCuNiTi,SS
AlCoCrCuMnFe,SS
AlCo2CrFeNiTi0.5,SS
Al65Cu5Cr5Si15Mn5Ti5,IM
CrMoNbTiZr,IM
CoFeNiSi0.75,IM
AlCoCrFeMo0.4Ni,IM
AlCoCrNi,IM
Al0.3CoCrFeNi,IM
AlCrFeCoNiCuMn,IM
Mo0.5NbHf0.5ZrTiSi0.5,IM
Al1.5CoCrFeNiTi0.5,IM
CoCrFeNiV,IM
AlCoCrFeNiTi1.5,IM
CoCrFeNiV0.8,IM
Al1.8CoCrFeNiTi0.2,IM
Al60Cu10Fe10Cr5Mn5Ni5Mg5,IM
Ni45(FeCoCr)40(AlTi)15,IM
CoCrFeNiV0.5,IM
AlCoCrFeNb0.25Ni,IM
Al0.3CrFe1.5MnNi0.5Si0.2,IM
(CoCrCuFeNi)92Nb8,IM
(Fe36Ni18Mn33Al13)98.74C1.26,IM
AlCoCrFeNiTi0.2,IM
Fe36Co21Cr18Ni15Al10,IM
Al40Cu15Cr15Fe15Si15,IM
CoCrCuFeNiTi,IM
Al2CoCrFeNi,IM
Ni30Co30Cr10Fe10Al18W2,IM
AlCoCrFeMo0.5Ni,IM
AlCoCrFeMo0.2Ni,IM
Mo0.5NbHf0.5ZrTiSi0.3,IM
Fe34Cr34Ni14Al14Co4,IM
CoCrFeNiV0.9,IM
AlCrFeNiMo0.8,IM
AlCoCrCuMnTi,IM
(CoCrCuFeNi)84Nb16,IM
NbCrMo0.5Ta0.5TiZr,IM
CoCrFeNiW0.5,IM
