Alloys,Category-3
AlCoCrFeNi,BCC or FCC
Al0.5CoCrCuFeNiTi0.2,BCC or FCC
AlCoFeNi,BCC or FCC
CoCrMnNi,BCC or FCC
AlCoCrCu0.25FeNiTi0.5,BCC or FCC
NiCoFeCrAl0.59,BCC or FCC
AlCoCrFeNiV0.2,BCC or FCC
AlCoCrFeNiTi0.5,BCC or FCC
Al0.6CrCuFeNi2,BCC or FCC
Al0.5CoCrFeNi,BCC or FCC
Al21.88Ni19.53Co19.53Fe19.53Cr19.53,BCC or FCC
Al0.5Cr0.9FeNi2.5V0.2,BCC or FCC
CrCu0.5FeMnNi,BCC or FCC
Al0.5CoCrCuFeNiV0.2,BCC or FCC
Al0.8CrCuFeMn1.5Ni,BCC or FCC
AlCoCrFeNiSi0.2,BCC or FCC
Al0.25CoCrCu0.75FeNiTi0.5,BCC or FCC
Cu0.25AlCoCrFeNiTi0.5,BCC or FCC
Al0.5CrCuFeNi2,BCC or FCC
Al0.25CoCrCuFeMnNiTiV,BCC or FCC
AlCrCuFeMnNi,BCC or FCC
Al0.875CoCrFeNi,BCC or FCC
Cr2CuFe2MnNi,BCC&FCC
Fe18Co18Ni18Cr18Mn18Al10,BCC&FCC
Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9,BCC&FCC
AlCoCr0.5FeNi,BCC&FCC
AlCo3CrCu0.5FeNi,BCC&FCC
NiCoFeCrAl1.21,BCC&FCC
AlCoCrCuMnFe,BCC&FCC
Al9.38Ni22.66Co22.66Fe22.66Cr22.66,BCC&FCC
CrMnFeVCu0.20,BCC&FCC
Al0.8CrCuFeMnNi,BCC&FCC
CoCrFeGeMnNi,BCC&FCC
AlCoCuFeNiSi,BCC&FCC
Al0.8CrCuFe1.5MnNi,BCC&FCC
AlCoCrCuFeNiSi,BCC&FCC
AlCo1.5CrFeNiTi0.5,BCC&FCC
AlCoCr0.3FeNi,BCC&FCC
Al0.5CoCrCuFeNiV0.4,BCC&FCC
CoCrCuFeMn,BCC&FCC
AlCoCr0.7FeNi,BCC&FCC
Cr2MnFeNi,BCC&FCC
CrCuFe0.5Mn0.5Ni,BCC&FCC
Cr2Cu2Fe2MnNi2,BCC&FCC
Al0.8CoCrFeNiTi0.2,BCC&FCC
